epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0445,1.01576,3.48437,1.39021,0.00286,0.85714,0.17488,0.15381,0.9171,3.97632,1.42274,2e-05,2e-05,2e-05
2,26.7594,0.9532,3.69267,1.265,0.00286,0.85714,0.22299,0.15232,0.74684,3.89167,1.30956,5.8812e-05,5.8812e-05,5.8812e-05
3,34.102,0.8221,3.62306,1.22681,0.00333,1,0.17128,0.13671,0.73491,3.74595,1.22704,9.604e-05,9.604e-05,9.604e-05
4,41.4906,0.86563,3.13503,1.07047,0.00333,1,0.38653,0.25033,0.7027,3.60351,1.14401,0.000131684,0.000131684,0.000131684
5,48.9256,0.74318,2.84719,1.04678,0.00333,1,0.33182,0.26921,0.59693,3.47683,0.98391,0.000165744,0.000165744,0.000165744
6,56.3309,0.63175,1.90715,0.88336,0.00333,1,0.36024,0.27394,0.62909,3.43086,0.97394,0.00019822,0.00019822,0.00019822
7,63.5491,0.73899,1.63003,0.96236,0.00333,1,0.44788,0.34515,0.67157,3.42196,0.97856,0.000229112,0.000229112,0.000229112
8,70.7317,0.75489,1.55291,0.97977,0.00333,1,0.5287,0.41277,0.73648,3.33666,1.03943,0.00025842,0.00025842,0.00025842
9,78.0413,0.72602,1.87821,0.95872,0.00333,1,0.53064,0.3978,0.85381,3.4147,1.08328,0.000286144,0.000286144,0.000286144
10,85.3116,0.72846,1.3628,0.94327,0.00333,1,0.57012,0.35627,0.99074,3.51692,1.20066,0.000312284,0.000312284,0.000312284
11,92.4652,0.77366,2.74107,1.05759,0.00333,1,0.38111,0.24399,1.05236,3.65369,1.34493,0.00033684,0.00033684,0.00033684
12,99.5664,0.75095,1.63397,0.9051,0.00333,1,0.3081,0.16349,1.10436,3.79445,1.38196,0.000359812,0.000359812,0.000359812
13,106.842,0.62371,1.86295,0.88386,0.00333,1,0.30751,0.15787,1.12267,3.91336,1.40711,0.0003812,0.0003812,0.0003812
14,114.099,0.67521,1.70835,0.94886,0.00333,1,0.25408,0.11762,1.19285,4.03637,1.42306,0.000401004,0.000401004,0.000401004
15,121.659,0.76509,1.51746,0.96612,0.00333,1,0.25298,0.09792,1.2078,4.10955,1.45917,0.000419224,0.000419224,0.000419224
16,129.135,0.59439,1.37936,0.85585,0.00333,1,0.23508,0.08891,1.32232,4.07933,1.4737,0.00043586,0.00043586,0.00043586
17,136.828,0.67288,1.42199,0.87271,0.00333,1,0.19644,0.10354,1.35955,3.91883,1.43311,0.000450912,0.000450912,0.000450912
18,144.156,0.65458,1.43688,0.91694,0.00588,0.76106,0.19106,0.11364,1.33457,3.90556,1.45166,0.00046438,0.00046438,0.00046438
19,151.807,0.77927,1.45,1.05393,0.77058,0.14286,0.16941,0.08658,1.40853,3.8304,1.42587,0.000476264,0.000476264,0.000476264
20,159.462,0.59388,1.30827,0.83531,0.83139,0.14286,0.15951,0.11051,1.37543,3.7656,1.39072,0.000486564,0.000486564,0.000486564
21,167.467,0.58645,1.24502,0.89868,0.67484,0.14286,0.15529,0.122,1.17499,3.80902,1.37324,0.00049528,0.00049528,0.00049528
22,175.333,0.63355,1.32589,0.95899,0.0052,0.69906,0.15357,0.1207,1.16622,3.83658,1.36972,0.000502412,0.000502412,0.000502412
23,183.283,0.68232,1.21001,0.91534,0.00333,1,0.1575,0.10729,1.24275,3.80855,1.38824,0.00050796,0.00050796,0.00050796
24,191.037,0.71241,1.23428,0.94097,0.00333,1,0.16619,0.09572,1.36002,3.82951,1.46517,0.000511924,0.000511924,0.000511924
25,199.076,0.57659,1.10015,0.90806,0.00333,1,0.10544,0.05539,1.42464,3.80661,1.54276,0.000514304,0.000514304,0.000514304
26,207.003,0.57382,1.08416,0.88655,0.00333,1,0.18501,0.13073,1.32999,3.82786,1.52056,0.0005151,0.0005151,0.0005151
27,214.794,0.57365,1.0049,0.8991,0.00333,1,0.19758,0.15674,1.20423,3.83624,1.50831,0.000514312,0.000514312,0.000514312
28,222.734,0.6032,1.31745,0.88393,0.00333,1,0.19758,0.15674,1.20423,3.83624,1.50831,0.00051194,0.00051194,0.00051194
29,230.526,0.68405,1.11514,0.9472,0.00522,0.66711,0.20794,0.17589,1.25402,3.80194,1.5892,0.000507984,0.000507984,0.000507984
30,238.403,0.72165,1.21805,0.91358,0.2471,0.28571,0.2066,0.18322,1.18098,3.79032,1.52416,0.000502444,0.000502444,0.000502444
31,246.412,0.56073,1.09127,0.9671,0.2471,0.28571,0.2066,0.18322,1.18098,3.79032,1.52416,0.00049532,0.00049532,0.00049532
32,254.034,0.5035,1.2593,0.91717,0.37098,0.14286,0.20558,0.18318,1.20222,3.71946,1.49478,0.000486612,0.000486612,0.000486612
33,261.98,0.50712,0.97015,0.8259,0.63298,0.14286,0.2057,0.16592,1.31172,3.72025,1.5226,0.00047632,0.00047632,0.00047632
34,269.761,0.56647,0.9714,0.95254,0.63298,0.14286,0.2057,0.16592,1.31172,3.72025,1.5226,0.000464444,0.000464444,0.000464444
35,277.611,0.6478,0.97474,0.86797,0.7106,0.14286,0.19572,0.12187,1.35051,3.74672,1.5498,0.000450984,0.000450984,0.000450984
36,285.57,0.59684,1.19833,0.98459,0.81154,0.14286,0.18331,0.10466,1.3404,3.74838,1.55315,0.00043594,0.00043594,0.00043594
37,293.287,0.58499,1.20568,0.88759,0.81154,0.14286,0.18331,0.10466,1.3404,3.74838,1.55315,0.000419312,0.000419312,0.000419312
38,301.074,0.43727,1.04957,0.83008,0.88225,0.14286,0.18059,0.09099,1.3878,3.61676,1.58783,0.0004011,0.0004011,0.0004011
39,308.925,0.60751,1.10389,0.87524,0.8991,0.14286,0.22331,0.1353,1.41479,3.58187,1.56895,0.000381304,0.000381304,0.000381304
40,316.619,0.52623,1.04754,0.82315,0.8991,0.14286,0.22331,0.1353,1.41479,3.58187,1.56895,0.000359924,0.000359924,0.000359924
41,324.386,0.45957,1.41127,0.80721,0.89177,0.14286,0.25227,0.16009,1.42408,3.57564,1.56164,0.00033696,0.00033696,0.00033696
42,331.97,0.52001,1.49395,0.84345,0.89919,0.14286,0.29707,0.15697,1.3149,3.65922,1.50772,0.000312412,0.000312412,0.000312412
43,339.492,0.45087,1.35337,0.83309,0.89919,0.14286,0.29707,0.15697,1.3149,3.65922,1.50772,0.00028628,0.00028628,0.00028628
44,347.375,0.46438,1.34386,0.79187,0.93189,0.14286,0.39219,0.2157,1.22881,3.52411,1.49013,0.000258564,0.000258564,0.000258564
45,355.054,0.36538,1.49009,0.81527,0.93189,0.14286,0.39219,0.2157,1.22881,3.52411,1.49013,0.000229264,0.000229264,0.000229264
46,362.927,0.45592,1.32135,0.886,1,0.27472,0.4926,0.2724,1.1075,3.45538,1.4707,0.00019838,0.00019838,0.00019838
47,370.633,0.51442,1.51148,0.79953,1,0.27472,0.4926,0.2724,1.1075,3.45538,1.4707,0.000165912,0.000165912,0.000165912
48,378.153,0.59395,1.72095,0.81936,1,0.28217,0.61891,0.31094,1.11637,3.30695,1.41239,0.00013186,0.00013186,0.00013186
49,385.658,0.42023,1.36598,0.7875,1,0.28217,0.61891,0.31094,1.11637,3.30695,1.41239,9.6224e-05,9.6224e-05,9.6224e-05
50,393.348,0.48208,1.47537,0.80631,1,0.30911,0.66393,0.35896,1.12514,3.18209,1.39169,5.9004e-05,5.9004e-05,5.9004e-05
